time_s,surface,force_g,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_deg
0.0,smooth,952.0,-0.0083,-0.0163,1.0056,0.549,-1.355,0.088,1.04
0.25,smooth,946.9,0.0009,-0.0035,0.9909,-1.872,-0.72,0.694,0.21
0.5,smooth,953.2,0.0017,0.0065,1.01,-1.831,0.185,0.615,0.38
0.75,smooth,960.2,0.0219,-0.0391,0.9976,1.146,-0.573,0.418,2.57
1.0,smooth,946.1,-0.0298,-0.0668,1.0047,0.972,0.551,-1.324,4.16
1.25,smooth,946.1,0.0185,-0.027,1.0002,-0.705,0.373,0.365,1.87
1.5,smooth,960.6,-0.0008,-0.0404,0.9863,-0.706,1.094,-0.109,2.35
1.75,smooth,954.1,0.0255,-0.0034,1.005,0.41,0.767,0.498,1.47
2.0,smooth,944.2,0.009,-0.0345,0.995,-0.01,0.182,0.128,2.05
2.25,smooth,952.3,0.0204,-0.0575,1.0105,0.844,0.598,-0.01,3.46
2.5,smooth,944.3,0.0022,-0.0315,0.9976,0.384,0.804,0.32,1.81
2.75,smooth,944.3,0.0188,-0.0498,0.9992,1.266,-0.406,-0.086,3.05
3.0,smooth,949.9,0.0433,0.0118,1.0168,0.776,-0.263,-0.012,2.53
3.25,smooth,954.0,-0.0048,-0.0106,1.0238,0.577,-0.077,-0.278,0.65
3.5,smooth,934.2,0.0079,-0.007,1.0079,-0.282,-0.38,-0.803,0.6
3.75,smooth,943.5,0.0003,-0.0093,0.9971,-0.34,0.813,0.284,0.53
4.0,smooth,939.9,0.0419,-0.0032,0.9963,-0.041,-0.502,-0.403,2.42
4.25,smooth,950.5,0.0013,0.0027,0.9918,1.473,1.001,-0.1,0.17
4.5,smooth,940.7,-0.0047,-0.0308,0.9937,-0.325,-0.294,0.143,1.8
4.75,smooth,936.7,-0.0016,-0.0484,0.9973,0.208,0.378,-1.043,2.78
5.0,smooth,959.7,0.0073,-0.0369,1.0196,-1.796,0.133,-0.931,2.11
5.25,smooth,946.2,-0.0059,-0.0209,0.998,0.541,-0.781,-0.15,1.25
5.5,smooth,948.5,0.0026,-0.0713,0.9877,1.806,-0.016,0.227,4.13
5.75,smooth,936.6,0.0131,0.0029,1.0004,-0.747,0.267,0.372,0.77
6.0,smooth,943.6,0.0077,-0.0579,1.0018,2.54,-0.051,-0.796,3.34
