time_s,surface,force_g,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_deg
0.0,rough,1016.0,0.0854,-0.0565,0.8712,12.646,-3.038,0.391,6.7
0.25,rough,957.4,-0.1372,-0.1662,1.0538,0.725,8.205,-2.244,11.56
0.5,rough,952.8,0.2225,0.0292,0.9394,6.876,-5.952,2.677,13.44
0.75,rough,1001.9,0.2305,0.1502,0.979,4.645,1.942,-0.281,15.7
1.0,rough,1052.9,0.0809,-0.2024,1.1114,11.555,-12.952,0.71,11.1
1.25,rough,1000.1,0.249,-0.0962,0.8955,-2.033,14.193,-1.683,16.6
1.5,rough,905.8,0.0527,-0.0382,1.0148,15.892,9.411,-8.372,3.67
1.75,rough,954.4,0.1022,-0.0027,0.9964,-16.878,21.451,-8.611,5.86
2.0,rough,897.8,0.1614,0.0679,1.0631,7.289,10.439,2.476,9.35
2.25,rough,952.4,0.0316,-0.0352,1.077,-7.366,-8.811,1.121,2.51
2.5,rough,942.9,-0.1763,-0.0516,1.0237,-4.188,5.215,1.842,10.17
2.75,rough,1006.9,0.1047,0.0903,0.9676,4.84,-7.16,0.565,8.13
3.0,rough,941.3,-0.0466,0.0462,1.0426,4.772,12.309,0.901,3.6
3.25,rough,879.9,-0.0377,0.0339,1.1202,5.155,-8.589,4.07,2.59
3.5,rough,875.7,0.0457,-0.0087,0.9975,-11.782,-8.963,1.867,2.67
3.75,rough,907.5,0.078,0.0783,0.9759,12.317,-12.557,4.372,6.46
4.0,rough,946.2,0.028,-0.0856,1.0349,-7.656,-3.809,0.72,4.97
4.25,rough,895.0,0.0863,-0.0993,1.0035,-6.522,-5.378,-1.262,7.47
4.5,rough,1024.6,-0.0748,0.0546,0.8796,5.422,-9.841,0.816,6.01
4.75,rough,945.7,0.0049,-0.1825,1.0215,-2.437,15.521,-3.512,10.13
5.0,rough,884.8,0.1119,-0.0108,0.8788,2.62,4.133,-1.595,7.29
5.25,rough,882.6,0.2227,-0.0517,1.0337,-18.331,3.215,0.746,12.47
5.5,rough,829.9,0.2652,-0.1606,0.9283,2.417,12.395,0.69,18.47
5.75,rough,893.1,0.062,-0.1131,1.0033,1.852,1.999,-0.447,7.33
6.0,rough,948.6,0.1108,-0.0309,1.0352,-4.334,-5.84,-5.83,6.34
6.25,rough,955.0,0.2478,0.0834,1.2209,-17.63,-13.262,2.673,12.09
6.5,rough,957.1,-0.0705,-0.0853,1.0668,-1.809,-6.279,3.504,5.92
6.75,rough,913.0,0.0856,0.1013,1.1228,-0.318,11.742,6.904,6.74
7.0,rough,947.2,0.1022,-0.0137,1.1685,-3.121,-9.792,1.855,5.04
7.25,rough,965.9,0.1837,0.111,1.044,-15.607,2.754,0.006,11.62
7.5,rough,890.9,-0.1265,-0.0804,1.0257,13.555,8.065,-4.255,8.31
7.75,rough,953.5,-0.1027,-0.0249,0.904,-5.43,2.226,6.266,6.67
8.0,rough,977.5,0.0126,0.0168,0.9895,-1.889,3.112,1.041,1.22
8.25,rough,925.9,0.0553,-0.038,0.9349,-20.481,5.114,0.812,4.11
8.5,rough,995.8,0.1447,0.0753,0.9639,13.556,2.958,-1.067,9.61
8.75,rough,812.3,0.0721,-0.2408,1.1684,-3.966,12.551,-1.335,12.14
9.0,rough,909.3,-0.0082,0.2222,1.0103,0.837,-8.114,2.891,12.41
9.25,rough,973.1,0.06,0.0658,0.9212,9.526,1.875,-4.29,5.52
9.5,rough,1039.5,0.0461,-0.0374,1.1237,-5.749,-14.182,6.827,3.02
9.75,rough,1062.1,0.2194,-0.0752,1.086,8.188,-16.175,5.912,12.06
10.0,rough,976.6,0.0299,-0.1066,1.0907,-17.521,-0.637,-1.487,5.8
10.25,rough,925.1,-0.036,0.0446,0.8194,4.683,4.238,-3.628,4.0
10.5,rough,892.1,0.064,0.0795,1.1754,13.364,12.719,-8.464,4.96
10.75,rough,955.5,0.0338,-0.0363,0.9497,-4.934,18.874,-5.256,2.99
11.0,rough,962.6,-0.1785,0.0907,1.07,9.51,10.295,3.066,10.6
11.25,rough,829.3,0.0081,-0.1107,1.2271,15.588,5.672,1.324,5.17
11.5,rough,976.4,-0.0021,-0.1284,1.194,-2.166,1.248,2.073,6.14
11.75,rough,918.6,-0.0553,0.1613,0.912,-2.869,-11.944,-7.751,10.59
12.0,rough,907.4,0.1343,0.0391,0.87,-7.635,-1.139,-1.662,9.13
12.25,rough,995.7,-0.0843,0.1197,1.1287,-4.333,10.065,5.743,7.39
12.5,rough,995.9,0.0647,-0.1054,1.0128,-6.931,7.007,-0.403,6.96
12.75,rough,919.5,-0.0077,-0.1124,0.9549,-7.642,-10.033,-5.344,6.73
13.0,rough,1025.3,0.0229,-0.0559,1.0559,10.19,4.789,-0.469,3.27
13.25,rough,935.1,0.0594,-0.1024,0.9853,-6.714,4.121,-3.238,6.85
13.5,rough,951.8,-0.1469,0.0505,1.0631,2.197,2.729,1.401,8.31
13.75,rough,827.3,0.033,-0.0951,1.006,0.325,-0.217,0.086,5.71
14.0,rough,971.6,0.2847,-0.1372,1.065,12.734,5.192,2.282,16.53
14.25,rough,960.2,-0.1768,-0.0058,0.9195,-4.277,5.439,-5.115,10.89
14.5,rough,1021.5,0.0031,-0.149,1.1282,3.24,-5.003,-1.885,7.53
14.75,rough,902.1,0.1448,-0.1999,1.0628,6.724,3.549,4.58,13.08
15.0,rough,872.0,0.0462,-0.0067,1.0582,12.663,-1.477,-5.688,2.53
15.25,rough,999.4,0.0926,-0.1949,0.8994,-4.401,-11.6,-4.213,13.49
15.5,rough,923.5,-0.2751,0.0575,1.153,-5.252,-4.381,0.837,13.7
15.75,rough,945.8,0.0818,-0.1595,0.9988,-9.025,-12.197,1.204,10.17
16.0,rough,962.7,-0.0814,-0.2441,1.0655,19.009,7.645,-2.053,13.58
16.25,rough,1021.3,0.0472,-0.0494,0.9709,11.768,2.776,-1.169,4.03
16.5,rough,955.3,0.0065,-0.0055,1.0235,-0.359,-2.773,2.24,0.48
16.75,rough,930.2,0.2834,0.0291,1.0267,16.417,11.08,3.568,15.51
17.0,rough,820.3,0.0756,-0.0028,0.7462,-0.866,0.53,-4.491,5.79
17.25,rough,1026.1,-0.0035,-0.1259,1.0524,6.157,-11.164,1.53,6.82
17.5,rough,907.1,-0.1712,0.0513,1.1769,0.086,-3.428,6.35,8.63
17.75,rough,949.3,0.0245,0.076,1.0486,3.381,12.736,-0.487,4.35
18.0,rough,945.7,0.1088,-0.1406,0.9138,2.48,-5.222,-4.535,11.01
18.25,rough,1021.9,0.0003,-0.0381,1.0585,-3.612,2.147,-4.73,2.06
18.5,rough,829.9,-0.0507,-0.0474,1.0954,9.286,5.802,-0.675,3.63
18.75,rough,861.4,-0.0587,0.002,1.0461,6.086,4.602,4.351,3.21
